ts,i_bat_raw,u_bat_raw,t_cells,ca_ch,ca_disch
28.02260667,0.097856518,3.5999146,29.613056,1.0693741,0
28.02260833,0.097856518,3.5999146,29.645901,1.0693741,0
28.10593167,0.097781091,3.6001339,29.645901,1.0695229,0
28.10593333,0.097781091,3.6001339,29.621443,1.0695229,0
28.18926667,0.087874153,3.6000538,29.654902,1.0696715,0
28.272675,0.087309751,3.5998201,29.654902,1.0698081,0
28.27267667,0.087309751,3.5998201,29.638981,1.0698081,0
28.35594667,0.087238658,3.5997477,29.638981,1.0699403,0
28.35594833,0.087238658,3.5997477,29.600224,1.0699403,0
28.43925667,0.087263801,3.5997992,29.602303,1.0700719,0
28.52260667,0.087269003,3.5999622,29.586079,1.0702072,0
28.60595667,0.087269003,3.6001415,29.539631,1.070338,0
28.68934333,0.083930275,3.6002378,29.587391,1.0704724,0
28.77257333,0.081742026,3.6002331,29.572117,1.0705987,0
28.855945,0.079936981,3.6002207,29.556807,1.0707222,0
28.93929333,0.076495084,3.6001081,29.556807,1.0708361,0
28.939295,0.076495084,3.6001081,29.592354,1.0708361,0
29.02257833,0.07647601,3.6001005,29.522421,1.0709577,0
29.10591667,0.076466474,3.6001625,29.615685,1.0710694,0
29.18938,0.075811039,3.6002302,29.522421,1.0711905,0
29.27261,0.071311431,3.6001053,29.522421,1.0713001,0
29.27261167,0.071311431,3.6001053,29.575331,1.0713001,0
29.35590667,0.071353913,3.6001663,29.575331,1.0714058,0
29.35590833,0.071353913,3.6001663,29.544958,1.0714058,0
29.43925167,0.071362582,3.6002426,29.571138,1.0715166,0
29.52260167,0.066059286,3.6001549,29.520521,1.0716248,0
29.605965,0.066064488,3.6000185,29.52968,1.0717225,0
29.68931333,0.06608963,3.6000128,29.52968,1.0718241,0
29.689315,0.06608963,3.6000128,29.554115,1.0718241,0
29.772605,0.066022006,3.6000872,29.549736,1.0719192,0
29.85592,0.066087029,3.6001759,29.501202,1.0720276,0
29.93927667,0.061019551,3.6000891,29.53467,1.0721252,0
30.02258667,0.060971,3.6000128,29.467733,1.0722195,0
30.10596667,0.060983137,3.6000643,29.471928,1.0723133,0
30.189275,0.060977069,3.6001034,29.471928,1.0724043,0
30.18927667,0.060977069,3.6001034,29.476919,1.0724043,0
30.27264833,0.060971867,3.6001673,29.476919,1.0724981,0
30.27265,0.060971867,3.6001673,29.4771,1.0724981,0
30.35598667,0.055435354,3.5999079,29.478235,1.0725822,0
30.43934667,0.05549951,3.5998411,29.478235,1.0726701,0
30.43934833,0.05549951,3.5998411,29.484358,1.0726701,0
30.52260333,0.055467432,3.5997677,29.463932,1.072754,0
30.606,0.062025244,3.6003141,29.491432,1.0728475,0
30.68926333,0.056506937,3.6002455,29.491432,1.0729363,0
30.689265,0.056506937,3.6002455,29.453768,1.0729363,0
30.772635,0.05114382,3.6001091,29.453768,1.0730197,0
30.77263667,0.05114382,3.6001091,29.440779,1.0730197,0
30.85593167,0.051170696,3.6000109,29.442703,1.0730945,0
30.93933833,0.05116376,3.5999575,29.442703,1.073176,0
30.93934,0.05116376,3.5999575,29.41839,1.073176,0
31.02266833,0.051235719,3.5999231,29.431593,1.0732545,0
31.10592333,0.051199306,3.5999813,29.475384,1.0733333,0
31.189285,0.051197572,3.6000051,29.437716,1.0734103,0
31.27264667,0.051212311,3.6001205,29.455877,1.0734893,0
31.35595667,0.051197572,3.6002502,29.455877,1.073568,0
31.35595833,0.051197572,3.6002502,29.4662,1.073568,0
31.43926667,0.045853528,3.6001253,29.447855,1.073644,0
31.52266833,0.045817982,3.6000404,29.431593,1.073714,0
31.605935,0.045856996,3.5999365,29.431593,1.0737829,0
31.60593667,0.045856996,3.5999365,29.445742,1.0737829,0
31.68933833,0.045848326,3.5999641,29.445742,1.0738537,0
31.68934,0.045848326,3.5999641,29.445562,1.0738537,0
31.77264333,0.045815381,3.5999718,29.413244,1.0739233,0
31.85596667,0.04584139,3.6000185,29.413244,1.0739942,0
31.85596833,0.04584139,3.6000185,29.405039,1.0739942,0
31.93923833,0.045819716,3.6001472,29.363356,1.0740621,0
32.02265333,0.045866533,3.6002159,29.363356,1.0741338,0
32.022655,0.045866533,3.6002159,29.359163,1.0741338,0
32.10595,0.045837923,3.6003504,29.359163,1.0742043,0
32.10595167,0.045837923,3.6003504,29.372725,1.0742043,0
32.18931167,0.040559769,3.60009,29.372725,1.0742676,0
32.18931333,0.040559769,3.60009,29.388807,1.0742676,0
32.27262,0.040607453,3.5999937,29.365469,1.0743308,0
32.35594167,0.04057364,3.5999689,29.376738,1.0743927,0
32.439305,0.040636063,3.5999327,29.349382,1.0744547,0
32.52265,0.04059098,3.5999269,29.369663,1.0745157,0
32.60592167,0.040549365,3.6000071,29.326044,1.074578,0
32.68937,0.040552833,3.6000614,29.304815,1.0746397,0
32.77268167,0.040596182,3.6001005,29.347454,1.0747019,0
32.85598833,0.040544163,3.6001959,29.347454,1.0747647,0
32.85599,0.040544163,3.6001959,29.334873,1.0747647,0
32.93934833,0.040561503,3.6003227,29.334873,1.0748256,0
32.93935,0.040561503,3.6003227,29.291464,1.0748256,0
33.02266333,0.035324096,3.600071,29.306747,1.0748836,0
33.10593333,0.035264275,3.6000032,29.350517,1.0749373,0
33.18924167,0.03525994,3.5999374,29.350517,1.0749913,0
33.18924333,0.03525994,3.5999374,29.322834,1.0749913,0
33.27263667,0.035282482,3.5998402,29.322834,1.0750463,0
33.27263833,0.035282482,3.5998402,29.304815,1.0750463,0
33.355965,0.035247803,3.5998087,29.304815,1.0750997,0
33.35596667,0.035247803,3.5998087,29.307108,1.0750997,0
33.43932833,0.035292885,3.5998507,29.319546,1.0751538,0
33.52267667,0.035285083,3.5997839,29.361019,1.0752074,0
33.60599667,0.035319762,3.5998554,29.361019,1.075262,0
33.60599833,0.035319762,3.5998554,29.31645,1.075262,0
33.68930833,0.03524867,3.5998898,29.306496,1.075316,0
33.77260333,0.035301555,3.5999784,29.353178,1.0753692,0
33.85597833,0.035262541,3.6000414,29.32353,1.0754234,0
33.93927167,0.035252137,3.6000929,29.31645,1.0754766,0
34.022595,0.035262541,3.6001949,29.303278,1.0755311,0
34.105905,0.035290285,3.6003475,29.290079,1.075585,0
34.18926667,0.030215004,3.6000538,29.295437,1.0756341,0
34.272575,0.030269623,3.5999699,29.28931,1.0756803,0
34.35593667,0.030213269,3.5998926,29.28931,1.075726,0
34.35593833,0.030213269,3.5998926,29.278034,1.075726,0
34.35603667,0.030211535,3.5998964,29.278034,1.075726,0
34.35813833,-0.5196424,3.5880585,29.278034,1.075726,3.81E-06
34.35936333,-0.959590545,3.5774422,29.278034,1.075726,3.81E-06
34.36043,-1.360040182,3.5674295,29.278034,1.075726,3.81E-06
34.361445,-1.759174909,3.5567913,29.278034,1.075726,6.92E-05
34.36254167,-2.159415636,3.5456648,29.278034,1.075726,6.92E-05
